"block_id","conc1","conc2","ZIP_fit","ZIP_ref","ZIP_synergy","HSA_ref","HSA_synergy","Loewe_ref","Loewe_synergy","Bliss_ref","Bliss_synergy"
1,78.13,19.53,49.8182957123933,53.7191164729752,-3.90082076058193,43.6244839696753,6.09490429093834,45.7882469399648,3.93114132064882,53.4357873021762,-3.71639904156258
1,19.53,19.53,32.8990888935758,35.1580939167695,-2.25900502319371,21.9865206661563,11.1396851873406,27.4731445365702,5.65306131692677,35.5635832575908,-2.43737740409381
1,4.88,19.53,23.2949733144721,24.4913603784482,-1.19638706397614,17.4034829716208,5.83622026863955,20.3506047130278,2.88909852723258,24.4456400441187,-1.20593680385831
1,1.22,19.53,19.2860880238852,19.9620119719756,-0.675923948090372,17.4034829716208,1.65211794734318,18.3155933348728,0.740007584091167,19.6187255866301,-0.563124667666138
1,0,19.53,17.4034829716208,17.4034829716208,0,17.4034829716208,0,17.4034829716208,0,17.4034829716208,0
1,5000,78.13,90.8061725820537,93.8455027597211,-3.03933017766734,90.9163323143421,-0.274810096217138,91.5760029484515,-0.93448073032647,93.7399061579626,-3.09838393983762
1,1250,78.13,84.4240709125951,88.9115426983602,-4.48747178576511,84.2085154723702,0.363199097528053,84.4534631249091,0.118251444989156,89.117151962293,-4.54543739239476
1,312.5,78.13,71.8386017497797,78.0471811651585,-6.20857941537878,68.2053660882253,3.6324999096412,69.1908777887469,2.6469882091196,78.0884331254002,-6.25056712753367
1,78.13,78.13,55.18296130734,61.3129123384735,-6.12995103113354,43.6244839696753,11.5453731048735,48.8407640071973,6.32909306735159,61.1482902109759,-5.97843313642705
1,19.53,78.13,42.2378987421154,45.7973937918105,-3.55949504969518,31.0840724400189,11.398300995115,36.6306957382675,5.85167769686637,46.2362870952675,-3.75391366013359
1,4.88,78.13,35.2045681505726,36.8808644602515,-1.67629630967894,31.0840724400189,4.12788935383486,32.5606729819576,2.65128881189619,36.9598260932574,-1.7478642994036
1,1.22,78.13,32.3311450862155,33.0946943291545,-0.763549242939042,31.0840724400189,1.1218694248941,31.5431672928801,0.662774572032912,32.9324009782708,-0.726459113357841
1,0,78.13,31.0840724400189,31.0840724400189,0,31.0840724400189,0,31.0840724400189,0,31.0840724400189,0
1,5000,312.5,90.7050338540858,95.4470052938225,-4.74197143973667,90.9163323143421,-0.447776932470788,91.5760029484515,-1.10744756658012,95.3594722663124,-4.89091688444104
1,1250,312.5,85.0107579536792,91.7969436945017,-6.78618574082253,84.2085154723702,0.890872255162634,84.4534631249091,0.645924602623737,91.9326835324164,-6.83329580488353
1,312.5,312.5,75.0457153367264,83.7596697116761,-8.71395437494967,68.2053660882253,6.77930838452585,71.2258891669019,3.75878530584929,83.7572349016036,-8.77256042885243
1,78.13,312.5,63.3717378501522,71.3799359324478,-8.00819808229552,48.9135017453962,14.4431853996847,57.9983152088946,5.35837193618635,71.1997229871443,-7.84303584206337
1,19.53,312.5,55.3386006718293,59.90181334199,-4.56321267016065,48.9135017453962,6.54556134576413,51.8932810744297,3.56578201673067,60.1456452417603,-4.68658215059991
1,4.88,312.5,51.2466603275112,53.3055132285749,-2.05885290106364,48.9135017453962,2.27357127954252,49.8582696962748,1.32880332866402,53.2691229983989,-2.08204997346017
1,1.22,312.5,49.627656846946,50.5045675313775,-0.876910684431479,48.9135017453962,0.568752359102923,48.8407640071973,0.641490097301897,50.2836441201203,-0.801390015621102
1,0,312.5,48.9135017453962,48.9135017453962,0,48.9135017453962,0,48.9135017453962,0,48.9135017453962,0
1,5000,1250,90.7760629274446,97.0840134224612,-6.30795049501663,90.9163323143421,-0.29641739397718,91.5760029484515,-0.956088028086512,97.0169263840342,-6.39701146366919
1,1250,1250,86.6339643793224,94.7463145412462,-8.11235016192376,84.2085154723702,2.34075594018103,85.4709688139866,1.07830259856465,94.8140814391875,-8.26481002663631
1,312.5,1250,80.0336435203293,89.5988051399894,-9.56516161966009,68.2053660882253,11.7400557550477,76.3134176122893,3.63200423098374,89.5586522059521,-9.61323036267908
